0010843L,151,Ecole primaire privée Saint Joseph,Privé,10,1263
0011114F,151,Ecole élémentaire,Public,10,1263
0011115G,101,Ecole maternelle,Public,10,1263
0010765B,101,Ecole maternelle,Public,10,1264
0011325K,340,Collège Théodore Rosset,Public,10,1265
0010152K,101,Ecole maternelle,Public,10,1265
0010153L,101,Ecole maternelle Les Tilleuls,Public,10,1265
0011124S,151,Ecole élémentaire,Public,10,1265
0010703J,151,Ecole élémentaire,Public,10,1266
0010895T,340,Collège,Public,10,1266
0010888K,101,Ecole maternelle,Public,10,1266
0010175K,151,Ecole primaire,Public,10,1267
0010844M,151,Ecole primaire privée Sainte Thérèse,Privé,10,1269
0011251E,151,Ecole primaire,Public,10,1269
0011068F,340,Collège Xavier Bichat,Public,10,1269
0010142Z,101,Ecole maternelle,Public,10,1269
0011280L,334,Section d'enseignement professionnel du Lycée polyvalent Xavier Bichat,Public,10,1269
0011057U,320,Lycée agricole privé de l'Ain - site de Nantua,Privé,10,1269
0010032E,306,Lycée polyvalent Xavier Bichat,Public,10,1269
0011042C,151,Ecole primaire,Public,10,1272
0010945X,151,Ecole primaire,Public,10,1273
0010154M,151,Ecole primaire,Public,10,1274
0011128W,151,Ecole primaire Pierre Racine,Public,10,1275
0010507W,151,Ecole primaire Victor Duruy,Public,10,1276
0010112S,151,Ecole primaire,Public,10,1281
0011412E,151,Villard-Tacon,Public,10,1281
0010412T,151,Ecole primaire,Public,10,1282
0010158S,151,Ecole primaire,Public,10,1283
0011109A,101,Ecole maternelle L'Eglisette,Public,10,1283
0011110B,151,Ecole primaire L' Eglisette,Public,10,1283
0010157R,101,Ecole maternelle Sud,Public,10,1283
0010184V,101,Ecole maternelle Pasteur,Public,10,1283
0010800P,101,Ecole maternelle Paul Rivet,Public,10,1283
0010092V,340,Collège privé Saint Joseph,Privé,10,1283
0010186X,101,Ecole maternelle Daudet Pagnol,Public,10,1283
0010802S,340,Collège Ampère,Public,10,1283
0011281M,334,Section d'enseignement professionnel du Lycée polyvalent Paul Painlevé,Public,10,1283
0010182T,151,Ecole élémentaire Pasteur Nord,Public,10,1283
0010183U,151,Ecole élémentaire Pasteur Sud,Public,10,1283
0010187Y,101,Ecole maternelle Simone Veil,Public,10,1283
0010181S,151,Ecole primaire La Victoire,Public,10,1283
0010035H,340,Collège Louis Lumière,Public,10,1283
0010846P,151,Ecole primaire privée Saint Joseph,Privé,10,1283
0010180R,151,Ecole élémentaire Jean Moulin,Public,10,1283
0010188Z,101,Ecole maternelle Centre,Public,10,1283
0010806W,390,Section d'enseignement général et professionnel adapté du Collège Ampère,Public,10,1283
0011264U,151,Ecole élémentaire La Forge,Public,10,1283
0010141Y,151,Ecole primaire,Public,10,1283
0010891N,101,Ecole maternelle La Forge,Public,10,1283
0011025J,101,Ecole maternelle Louis Armand,Public,10,1283
0011026K,151,Ecole élémentaire Louis Armand,Public,10,1283
0010034G,306,Lycée polyvalent Paul Painlevé,Public,10,1283
0010738X,151,Ecole élémentaire,Public,10,1284
0010255X,151,Ecole primaire,Public,10,1285
0011146R,151,Ecole primaire publique de Parves et Nattages,Public,10,1286
0011388D,340,Collège le Paruthiol,Public,10,1288
0011298F,151,Ecole primaire,Public,10,1288
0010963S,390,Section d'enseignement général et professionnel adapté du Collège Les Côtes,Public,10,1289
0010938P,340,Collège Les Côtes,Public,10,1289
0011073L,380,Maison Familiale Rurale La Vernée - Péronnas,Privé,10,1289
0011273D,101,Ecole maternelle Janine Chabin,Public,10,1289
0011252F,151,Ecole élémentaire Les Erables,Public,10,1289
0011410C,151,Ecole élémentaire privée de l'Abcdaire,Privé,10,1290
0010527T,151,Ecole élémentaire,Public,10,1290
0010312J,151,Ecole primaire,Public,10,1291
0010929E,151,Ecole primaire,Public,10,1294
0010350A,151,Ecole élémentaire,Public,10,1295
0010528U,101,ECOLE MATERNELLE PUBLIQUE,Public,10,1297
0010460V,151,Ecole élémentaire,Public,10,1299
0010947Z,101,Ecole maternelle,Public,10,1301
0010946Y,151,Ecole élémentaire,Public,10,1301
0010036J,340,Collège Roger Vailland,Public,10,1303
0010980K,153,Ecole primaire des Terres d'Ain,Public,10,1303
0010037K,340,Collège Louise de Savoie,Public,10,1304
0010923Y,101,Ecole maternelle,Public,10,1304
0010948A,151,Ecole primaire,Public,10,1304
0011070H,340,Collège Antoine Chintreuil,Public,10,1305
0010729M,101,Ecole maternelle,Public,10,1305
0011231H,151,Ecole Elémentaire du Grand Cyprès,Public,10,1305
0011171T,380,Maison Familiale Rurale de Pont-de-Veyle,Privé,10,1306
0010329C,151,Ecole primiare,Public,10,1306
0010820L,340,Collège George Sand,Public,10,1306
0010123D,151,Ecole primaire,Public,10,1307
0010400E,151,Ecole primaire,Public,10,1308
0011045F,151,Ecole élementaire Les Grands Chênes,Public,10,1313
0011419M,151,ECOLE PRIMAIRE PUBLIQUE ALICE,Public,10,1313
0011017A,151,Ecole élémentaire intercommunale Jean de la Fontaine,Public,10,1313
0011301J,340,Collège Le Joran,Public,10,1313
0011080U,101,Ecole maternelle Les Grands Chênes,Public,10,1313
0011433C,101,Ecole des enfants,Privé,10,1313
0011390F,151,Ecole primaire publique La Bretonniere,Public,10,1313
0011081V,101,Ecole maternelle intercommunale,Public,10,1313
0011451X,151,ECOLE ALTERNATIVE DU PAYS DE GEX,Privé,10,1313
0010554X,151,Ecole primaire,Public,10,1314
0010256Y,101,Ecole maternelle,Public,10,1318
0010434S,151,Ecole élémentaire,Public,10,1319
0011331S,151,Ecole primaire,Public,10,1320
0010848S,151,Ecole primaire privée Sainte Madeleine,Privé,10,1320
0010755R,151,Ecole primaire,Public,10,1321
0011338Z,340,Collège Jean Compagnon,Public,10,1322
0011278J,151,Ecole élémentaire Le Château Vieux,Public,10,1322
0010849T,151,Ecole primaire privée Jeanne d'Arc,Privé,10,1322
